,time,open,close,high,low
577,2024-12-25T21:55:17Z,1.01199,1.01199,1.01199,1.01199
578,2024-12-25T21:55:17.636Z,1.01197,1.01197,1.01197,1.01197
579,2024-12-25T21:55:18.152Z,1.01202,1.01202,1.01202,1.01202
580,2024-12-25T21:55:18.637Z,1.01204,1.01204,1.01204,1.01204
581,2024-12-25T21:55:19.152Z,1.01201,1.01201,1.01201,1.01201
582,2024-12-25T21:55:19.653Z,1.01202,1.01202,1.01202,1.01202
583,2024-12-25T21:55:20.001Z,1.01202,1.01202,1.01202,1.01202
584,2024-12-25T21:55:20.639Z,1.01197,1.01197,1.01197,1.01197
585,2024-12-25T21:55:21.156Z,1.01196,1.01196,1.01196,1.01196
586,2024-12-25T21:55:21.642Z,1.01197,1.01197,1.01197,1.01197
587,2024-12-25T21:55:22.157Z,1.01198,1.01198,1.01198,1.01198
588,2024-12-25T21:55:22.642Z,1.01195,1.01195,1.01195,1.01195
589,2024-12-25T21:55:23.002Z,1.01195,1.01195,1.01195,1.01195
590,2024-12-25T21:55:23.657Z,1.01196,1.01196,1.01196,1.01196
591,2024-12-25T21:55:24.141Z,1.012,1.012,1.012,1.012
592,2024-12-25T21:55:24.657Z,1.01206,1.01206,1.01206,1.01206
593,2024-12-25T21:55:25.159Z,1.01207,1.01207,1.01207,1.01207
594,2024-12-25T21:55:25.645Z,1.01206,1.01206,1.01206,1.01206
595,2024-12-25T21:55:26.003Z,1.01206,1.01206,1.01206,1.01206
596,2024-12-25T21:55:26.660Z,1.01209,1.01209,1.01209,1.01209
597,2024-12-25T21:55:27.160Z,1.01208,1.01208,1.01208,1.01208
598,2024-12-25T21:55:27.660Z,1.01207,1.01207,1.01207,1.01207
599,2024-12-25T21:55:28.145Z,1.01206,1.01206,1.01206,1.01206
600,2024-12-25T21:55:28.659Z,1.01205,1.01205,1.01205,1.01205
601,2024-12-25T21:55:29.004Z,1.01205,1.01205,1.01205,1.01205
602,2024-12-25T21:55:29.645Z,1.01202,1.01202,1.01202,1.01202
603,2024-12-25T21:55:30.146Z,1.01203,1.01203,1.01203,1.01203
604,2024-12-25T21:55:30.647Z,1.01204,1.01204,1.01204,1.01204
605,2024-12-25T21:55:31.148Z,1.01203,1.01203,1.01203,1.01203
606,2024-12-25T21:55:31.664Z,1.01205,1.01205,1.01205,1.01205
607,2024-12-25T21:55:32.003Z,1.01205,1.01205,1.01205,1.01205
608,2024-12-25T21:55:32.650Z,1.01201,1.01201,1.01201,1.01201
609,2024-12-25T21:55:33.149Z,1.01198,1.01198,1.01198,1.01198
610,2024-12-25T21:55:33.648Z,1.01197,1.01197,1.01197,1.01197
611,2024-12-25T21:55:34.148Z,1.01196,1.01196,1.01196,1.01196
612,2024-12-25T21:55:34.664Z,1.01198,1.01198,1.01198,1.01198
613,2024-12-25T21:55:35.004Z,1.01198,1.01198,1.01198,1.01198
614,2024-12-25T21:55:35.652Z,1.012,1.012,1.012,1.012
615,2024-12-25T21:55:36.152Z,1.01202,1.01202,1.01202,1.01202
616,2024-12-25T21:55:36.651Z,1.012,1.012,1.012,1.012
617,2024-12-25T21:55:37.152Z,1.01197,1.01197,1.01197,1.01197
618,2024-12-25T21:55:37.651Z,1.01196,1.01196,1.01196,1.01196
619,2024-12-25T21:55:38.007Z,1.01196,1.01196,1.01196,1.01196
620,2024-12-25T21:55:38.651Z,1.01193,1.01193,1.01193,1.01193
621,2024-12-25T21:55:39.151Z,1.01191,1.01191,1.01191,1.01191
622,2024-12-25T21:55:39.652Z,1.01187,1.01187,1.01187,1.01187
623,2024-12-25T21:55:40.153Z,1.01184,1.01184,1.01184,1.01184
624,2024-12-25T21:55:40.654Z,1.01183,1.01183,1.01183,1.01183
625,2024-12-25T21:55:41.008Z,1.01183,1.01183,1.01183,1.01183
626,2024-12-25T21:55:41.656Z,1.01186,1.01186,1.01186,1.01186
627,2024-12-25T21:55:42.156Z,1.01186,1.01186,1.01186,1.01186
628,2024-12-25T21:55:42.655Z,1.01188,1.01188,1.01188,1.01188
629,2024-12-25T21:55:43.155Z,1.01189,1.01189,1.01189,1.01189
630,2024-12-25T21:55:43.655Z,1.01188,1.01188,1.01188,1.01188
631,2024-12-25T21:55:44.010Z,1.01188,1.01188,1.01188,1.01188
632,2024-12-25T21:55:44.672Z,1.01185,1.01185,1.01185,1.01185
633,2024-12-25T21:55:45.157Z,1.01184,1.01184,1.01184,1.01184
634,2024-12-25T21:55:45.657Z,1.01183,1.01183,1.01183,1.01183
635,2024-12-25T21:55:46.157Z,1.01181,1.01181,1.01181,1.01181
636,2024-12-25T21:55:46.657Z,1.0118,1.0118,1.0118,1.0118
637,2024-12-25T21:55:47.010Z,1.0118,1.0118,1.0118,1.0118
638,2024-12-25T21:55:47.658Z,1.01183,1.01183,1.01183,1.01183
639,2024-12-25T21:55:48.157Z,1.01182,1.01182,1.01182,1.01182
640,2024-12-25T21:55:48.658Z,1.0118,1.0118,1.0118,1.0118
641,2024-12-25T21:55:49.158Z,1.01182,1.01182,1.01182,1.01182
642,2024-12-25T21:55:49.657Z,1.01184,1.01184,1.01184,1.01184
643,2024-12-25T21:55:50.012Z,1.01184,1.01184,1.01184,1.01184
644,2024-12-25T21:55:50.676Z,1.01185,1.01185,1.01185,1.01185
645,2024-12-25T21:55:51.160Z,1.01182,1.01182,1.01182,1.01182
646,2024-12-25T21:55:51.662Z,1.0118,1.0118,1.0118,1.0118
647,2024-12-25T21:55:52.162Z,1.01179,1.01179,1.01179,1.01179
648,2024-12-25T21:55:52.663Z,1.01179,1.01179,1.01179,1.01179
649,2024-12-25T21:55:53.013Z,1.01179,1.01179,1.01179,1.01179
650,2024-12-25T21:55:53.662Z,1.01177,1.01177,1.01177,1.01177
651,2024-12-25T21:55:54.163Z,1.01179,1.01179,1.01179,1.01179
652,2024-12-25T21:55:54.662Z,1.01181,1.01181,1.01181,1.01181
653,2024-12-25T21:55:55.165Z,1.01179,1.01179,1.01179,1.01179
654,2024-12-25T21:55:55.666Z,1.01173,1.01173,1.01173,1.01173
655,2024-12-25T21:55:56.014Z,1.01173,1.01173,1.01173,1.01173
656,2024-12-25T21:55:56.666Z,1.01167,1.01167,1.01167,1.01167
657,2024-12-25T21:55:57.166Z,1.01166,1.01166,1.01166,1.01166
658,2024-12-25T21:55:57.666Z,1.01169,1.01169,1.01169,1.01169
659,2024-12-25T21:55:58.181Z,1.01161,1.01161,1.01161,1.01161
660,2024-12-25T21:55:58.697Z,1.01161,1.01161,1.01161,1.01161
661,2024-12-25T21:55:59.014Z,1.01161,1.01161,1.01161,1.01161
662,2024-12-25T21:55:59.696Z,1.01162,1.01162,1.01162,1.01162
663,2024-12-25T21:56:00.183Z,1.01162,1.01162,1.01162,1.01162
664,2024-12-25T21:56:00.684Z,1.01161,1.01161,1.01161,1.01161
665,2024-12-25T21:56:01.184Z,1.01158,1.01158,1.01158,1.01158
666,2024-12-25T21:56:01.701Z,1.01156,1.01156,1.01156,1.01156
667,2024-12-25T21:56:02.015Z,1.01156,1.01156,1.01156,1.01156
668,2024-12-25T21:56:02.686Z,1.01154,1.01154,1.01154,1.01154
669,2024-12-25T21:56:03.185Z,1.01155,1.01155,1.01155,1.01155
670,2024-12-25T21:56:03.685Z,1.01155,1.01155,1.01155,1.01155
671,2024-12-25T21:56:04.186Z,1.01154,1.01154,1.01154,1.01154
672,2024-12-25T21:56:04.686Z,1.01155,1.01155,1.01155,1.01155
673,2024-12-25T21:56:05.017Z,1.01155,1.01155,1.01155,1.01155
674,2024-12-25T21:56:05.219Z,1.01157,1.01157,1.01157,1.01157
675,2024-12-25T21:56:05.689Z,1.01158,1.01158,1.01158,1.01158
676,2024-12-25T21:56:06.188Z,1.01161,1.01161,1.01161,1.01161
677,2024-12-25T21:56:06.689Z,1.01162,1.01162,1.01162,1.01162
678,2024-12-25T21:56:07.188Z,1.0116,1.0116,1.0116,1.0116
679,2024-12-25T21:56:07.688Z,1.01163,1.01163,1.01163,1.01163
680,2024-12-25T21:56:08.019Z,1.01163,1.01163,1.01163,1.01163
681,2024-12-25T21:56:08.689Z,1.01168,1.01168,1.01168,1.01168
682,2024-12-25T21:56:09.189Z,1.01168,1.01168,1.01168,1.01168
683,2024-12-25T21:56:09.688Z,1.01165,1.01165,1.01165,1.01165
684,2024-12-25T21:56:10.190Z,1.01166,1.01166,1.01166,1.01166
685,2024-12-25T21:56:10.691Z,1.01165,1.01165,1.01165,1.01165
686,2024-12-25T21:56:11.019Z,1.01165,1.01165,1.01165,1.01165
687,2024-12-25T21:56:11.693Z,1.01162,1.01162,1.01162,1.01162
688,2024-12-25T21:56:12.193Z,1.01161,1.01161,1.01161,1.01161
689,2024-12-25T21:56:12.693Z,1.01156,1.01156,1.01156,1.01156
690,2024-12-25T21:56:13.193Z,1.01157,1.01157,1.01157,1.01157
691,2024-12-25T21:56:13.692Z,1.01159,1.01159,1.01159,1.01159
692,2024-12-25T21:56:14.020Z,1.01159,1.01159,1.01159,1.01159
693,2024-12-25T21:56:14.693Z,1.0116,1.0116,1.0116,1.0116
694,2024-12-25T21:56:15.195Z,1.01154,1.01154,1.01154,1.01154
695,2024-12-25T21:56:15.697Z,1.01145,1.01145,1.01145,1.01145
696,2024-12-25T21:56:16.197Z,1.01147,1.01147,1.01147,1.01147
697,2024-12-25T21:56:16.696Z,1.01142,1.01142,1.01142,1.01142
698,2024-12-25T21:56:17.021Z,1.01142,1.01142,1.01142,1.01142
699,2024-12-25T21:56:17.696Z,1.01141,1.01141,1.01141,1.01141
700,2024-12-25T21:56:18.196Z,1.01144,1.01144,1.01144,1.01144
701,2024-12-25T21:56:18.696Z,1.01142,1.01142,1.01142,1.01142
702,2024-12-25T21:56:19.196Z,1.01142,1.01142,1.01142,1.01142
703,2024-12-25T21:56:19.696Z,1.0114,1.0114,1.0114,1.0114
704,2024-12-25T21:56:20.023Z,1.0114,1.0114,1.0114,1.0114
705,2024-12-25T21:56:20.699Z,1.0114,1.0114,1.0114,1.0114
706,2024-12-25T21:56:21.199Z,1.01138,1.01138,1.01138,1.01138
707,2024-12-25T21:56:21.701Z,1.01146,1.01146,1.01146,1.01146
708,2024-12-25T21:56:22.201Z,1.0115,1.0115,1.0115,1.0115
709,2024-12-25T21:56:22.717Z,1.0115,1.0115,1.0115,1.0115
710,2024-12-25T21:56:23.024Z,1.0115,1.0115,1.0115,1.0115
711,2024-12-25T21:56:23.701Z,1.0115,1.0115,1.0115,1.0115
712,2024-12-25T21:56:24.216Z,1.01149,1.01149,1.01149,1.01149
713,2024-12-25T21:56:24.700Z,1.01149,1.01149,1.01149,1.01149
714,2024-12-25T21:56:25.221Z,1.01146,1.01146,1.01146,1.01146
715,2024-12-25T21:56:25.704Z,1.01147,1.01147,1.01147,1.01147
716,2024-12-25T21:56:26.023Z,1.01147,1.01147,1.01147,1.01147
717,2024-12-25T21:56:26.704Z,1.01144,1.01144,1.01144,1.01144
718,2024-12-25T21:56:27.219Z,1.01143,1.01143,1.01143,1.01143
719,2024-12-25T21:56:27.720Z,1.01142,1.01142,1.01142,1.01142
720,2024-12-25T21:56:28.219Z,1.01144,1.01144,1.01144,1.01144
721,2024-12-25T21:56:28.735Z,1.01145,1.01145,1.01145,1.01145
722,2024-12-25T21:56:29.025Z,1.01145,1.01145,1.01145,1.01145
723,2024-12-25T21:56:29.735Z,1.01146,1.01146,1.01146,1.01146
724,2024-12-25T21:56:30.221Z,1.01147,1.01147,1.01147,1.01147
725,2024-12-25T21:56:30.723Z,1.01145,1.01145,1.01145,1.01145
726,2024-12-25T21:56:31.222Z,1.01143,1.01143,1.01143,1.01143
727,2024-12-25T21:56:31.742Z,1.01146,1.01146,1.01146,1.01146
728,2024-12-25T21:56:32.026Z,1.01146,1.01146,1.01146,1.01146
729,2024-12-25T21:56:32.226Z,1.01147,1.01147,1.01147,1.01147
730,2024-12-25T21:56:32.725Z,1.01153,1.01153,1.01153,1.01153
731,2024-12-25T21:56:33.225Z,1.01154,1.01154,1.01154,1.01154
732,2024-12-25T21:56:33.725Z,1.01153,1.01153,1.01153,1.01153
733,2024-12-25T21:56:34.224Z,1.01152,1.01152,1.01152,1.01152
734,2024-12-25T21:56:34.742Z,1.01152,1.01152,1.01152,1.01152
735,2024-12-25T21:56:35.026Z,1.01152,1.01152,1.01152,1.01152
736,2024-12-25T21:56:35.227Z,1.01152,1.01152,1.01152,1.01152
737,2024-12-25T21:56:35.728Z,1.0115,1.0115,1.0115,1.0115
738,2024-12-25T21:56:36.227Z,1.0115,1.0115,1.0115,1.0115
739,2024-12-25T21:56:36.728Z,1.0115,1.0115,1.0115,1.0115
740,2024-12-25T21:56:37.243Z,1.01152,1.01152,1.01152,1.01152
741,2024-12-25T21:56:37.743Z,1.0115,1.0115,1.0115,1.0115
742,2024-12-25T21:56:38.029Z,1.0115,1.0115,1.0115,1.0115
743,2024-12-25T21:56:38.246Z,1.01151,1.01151,1.01151,1.01151
744,2024-12-25T21:56:38.744Z,1.01149,1.01149,1.01149,1.01149
745,2024-12-25T21:56:39.228Z,1.01149,1.01149,1.01149,1.01149
746,2024-12-25T21:56:39.743Z,1.01149,1.01149,1.01149,1.01149
747,2024-12-25T21:56:40.247Z,1.0115,1.0115,1.0115,1.0115
748,2024-12-25T21:56:40.749Z,1.01149,1.01149,1.01149,1.01149
749,2024-12-25T21:56:41.028Z,1.01149,1.01149,1.01149,1.01149
750,2024-12-25T21:56:41.246Z,1.01147,1.01147,1.01147,1.01147
751,2024-12-25T21:56:41.750Z,1.01146,1.01146,1.01146,1.01146
752,2024-12-25T21:56:42.228Z,1.01146,1.01146,1.01146,1.01146
753,2024-12-25T21:56:42.747Z,1.01146,1.01146,1.01146,1.01146
754,2024-12-25T21:56:43.250Z,1.01147,1.01147,1.01147,1.01147
755,2024-12-25T21:56:43.749Z,1.01146,1.01146,1.01146,1.01146
756,2024-12-25T21:56:44.028Z,1.01146,1.01146,1.01146,1.01146
757,2024-12-25T21:56:44.251Z,1.01143,1.01143,1.01143,1.01143
758,2024-12-25T21:56:44.751Z,1.01146,1.01146,1.01146,1.01146
759,2024-12-25T21:56:45.229Z,1.01146,1.01146,1.01146,1.01146
760,2024-12-25T21:56:45.751Z,1.01154,1.01154,1.01154,1.01154
761,2024-12-25T21:56:46.252Z,1.01153,1.01153,1.01153,1.01153
762,2024-12-25T21:56:46.754Z,1.01154,1.01154,1.01154,1.01154
763,2024-12-25T21:56:47.030Z,1.01154,1.01154,1.01154,1.01154
764,2024-12-25T21:56:47.254Z,1.01156,1.01156,1.01156,1.01156
765,2024-12-25T21:56:47.753Z,1.01154,1.01154,1.01154,1.01154
766,2024-12-25T21:56:48.232Z,1.01154,1.01154,1.01154,1.01154
767,2024-12-25T21:56:48.750Z,1.01152,1.01152,1.01152,1.01152
768,2024-12-25T21:56:49.254Z,1.0115,1.0115,1.0115,1.0115
769,2024-12-25T21:56:49.754Z,1.01153,1.01153,1.01153,1.01153
770,2024-12-25T21:56:50.033Z,1.01153,1.01153,1.01153,1.01153
771,2024-12-25T21:56:50.268Z,1.01154,1.01154,1.01154,1.01154
772,2024-12-25T21:56:50.757Z,1.01151,1.01151,1.01151,1.01151
773,2024-12-25T21:56:51.233Z,1.01151,1.01151,1.01151,1.01151
774,2024-12-25T21:56:51.758Z,1.01152,1.01152,1.01152,1.01152
775,2024-12-25T21:56:52.258Z,1.01151,1.01151,1.01151,1.01151
776,2024-12-25T21:56:52.756Z,1.01152,1.01152,1.01152,1.01152
777,2024-12-25T21:56:53.034Z,1.01152,1.01152,1.01152,1.01152
778,2024-12-25T21:56:53.259Z,1.01143,1.01143,1.01143,1.01143
779,2024-12-25T21:56:53.757Z,1.01144,1.01144,1.01144,1.01144
780,2024-12-25T21:56:54.234Z,1.01144,1.01144,1.01144,1.01144
781,2024-12-25T21:56:54.775Z,1.01145,1.01145,1.01145,1.01145
782,2024-12-25T21:56:55.261Z,1.01146,1.01146,1.01146,1.01146
783,2024-12-25T21:56:55.791Z,1.01149,1.01149,1.01149,1.01149
784,2024-12-25T21:56:56.035Z,1.01149,1.01149,1.01149,1.01149
785,2024-12-25T21:56:56.274Z,1.0115,1.0115,1.0115,1.0115
786,2024-12-25T21:56:56.777Z,1.01149,1.01149,1.01149,1.01149
787,2024-12-25T21:56:57.235Z,1.01149,1.01149,1.01149,1.01149
788,2024-12-25T21:56:57.775Z,1.01147,1.01147,1.01147,1.01147
789,2024-12-25T21:56:58.274Z,1.01144,1.01144,1.01144,1.01144
790,2024-12-25T21:56:58.775Z,1.01144,1.01144,1.01144,1.01144
791,2024-12-25T21:56:59.038Z,1.01144,1.01144,1.01144,1.01144
792,2024-12-25T21:56:59.275Z,1.01145,1.01145,1.01145,1.01145
793,2024-12-25T21:56:59.774Z,1.01148,1.01148,1.01148,1.01148
794,2024-12-25T21:57:00.239Z,1.01148,1.01148,1.01148,1.01148
795,2024-12-25T21:57:00.783Z,1.01149,1.01149,1.01149,1.01149
796,2024-12-25T21:57:01.277Z,1.01151,1.01151,1.01151,1.01151
797,2024-12-25T21:57:01.780Z,1.0115,1.0115,1.0115,1.0115
798,2024-12-25T21:57:02.038Z,1.0115,1.0115,1.0115,1.0115
799,2024-12-25T21:57:02.314Z,1.01152,1.01152,1.01152,1.01152
800,2024-12-25T21:57:02.779Z,1.01151,1.01151,1.01151,1.01151
801,2024-12-25T21:57:03.239Z,1.01151,1.01151,1.01151,1.01151
802,2024-12-25T21:57:03.779Z,1.01152,1.01152,1.01152,1.01152
803,2024-12-25T21:57:04.279Z,1.01149,1.01149,1.01149,1.01149
804,2024-12-25T21:57:04.780Z,1.0115,1.0115,1.0115,1.0115
805,2024-12-25T21:57:05.041Z,1.0115,1.0115,1.0115,1.0115
806,2024-12-25T21:57:05.282Z,1.01151,1.01151,1.01151,1.01151
807,2024-12-25T21:57:05.797Z,1.01153,1.01153,1.01153,1.01153
808,2024-12-25T21:57:06.242Z,1.01153,1.01153,1.01153,1.01153
809,2024-12-25T21:57:06.781Z,1.01155,1.01155,1.01155,1.01155
810,2024-12-25T21:57:07.282Z,1.01156,1.01156,1.01156,1.01156
811,2024-12-25T21:57:07.782Z,1.01155,1.01155,1.01155,1.01155
812,2024-12-25T21:57:08.043Z,1.01155,1.01155,1.01155,1.01155
813,2024-12-25T21:57:08.282Z,1.01155,1.01155,1.01155,1.01155
814,2024-12-25T21:57:08.797Z,1.01151,1.01151,1.01151,1.01151
815,2024-12-25T21:57:09.243Z,1.01151,1.01151,1.01151,1.01151
816,2024-12-25T21:57:09.797Z,1.01151,1.01151,1.01151,1.01151
817,2024-12-25T21:57:10.301Z,1.01152,1.01152,1.01152,1.01152
818,2024-12-25T21:57:10.801Z,1.01153,1.01153,1.01153,1.01153
819,2024-12-25T21:57:11.044Z,1.01153,1.01153,1.01153,1.01153
820,2024-12-25T21:57:11.319Z,1.01154,1.01154,1.01154,1.01154
821,2024-12-25T21:57:11.818Z,1.01155,1.01155,1.01155,1.01155
